,0,Index
ENSG00000183971.5,0.010738242502042254,9
ENSG00000230453.8,0.002823425727889256,24
ENSG00000228401.4,0.010891323792486576,8
ENSG00000005381.7,0.0028997345313457215,22
ENSG00000132122.10,0.007705793177083159,11
ENSG00000270182.1,0.019857811660956445,3
ENSG00000106006.6,0.12548647115476402,1
ENSG00000165716.8,0.004329268292682926,15
ENSG00000151917.16,0.0038482384823848234,18
ENSG00000170893.3,0.6650978797481751,0
ENSG00000162078.10,0.004717607973421926,14
ENSG00000106004.4,0.008484740768120978,10
ENSG00000188626.6,0.01102568328178084,6
ENSG00000267453.5,0.05300274625750425,2
ENSG00000144668.10,0.003825803825803826,20
ENSG00000182749.5,0.0030989010989010994,21
ENSG00000111885.6,0.004131868131868133,16
ENSG00000276141.3,0.010895173557271558,7
ENSG00000174059.15,0.0028693528693528696,23
ENSG00000168916.14,0.0018297322645148737,25
ENSG00000243587.6,0.011922634568096172,4
ENSG00000225792.1,0.00570096059890862,12
ENSG00000257654.1,0.003931339977851606,17
ENSG00000116985.9,0.011411204502033586,5
ENSG00000102595.17,0.005639762536314269,13
ENSG00000132975.7,0.0038342987184450798,19
